,date
0,2019-01-03
1,2019-01-04
2,2019-01-07
3,2019-01-08
4,2019-01-09
5,2019-01-10
6,2019-01-11
7,2019-01-14
8,2019-01-15
9,2019-01-16
10,2019-01-17
11,2019-01-18
12,2019-01-21
13,2019-01-22
14,2019-01-23
15,2019-01-24
16,2019-01-25
17,2019-01-28
18,2019-01-29
19,2019-01-30
20,2019-01-31
21,2019-02-01
22,2019-02-11
23,2019-02-12
24,2019-02-13
25,2019-02-14
26,2019-02-15
27,2019-02-18
28,2019-02-19
29,2019-02-20
30,2019-02-21
31,2019-02-22
32,2019-02-25
33,2019-02-26
34,2019-02-27
35,2019-02-28
36,2019-03-01
37,2019-03-04
38,2019-03-05
39,2019-03-06
40,2019-03-07
41,2019-03-08
42,2019-03-11
43,2019-03-12
44,2019-03-13
45,2019-03-14
46,2019-03-15
47,2019-03-18
48,2019-03-19
49,2019-03-20
50,2019-03-21
51,2019-03-22
52,2019-03-25
53,2019-03-26
54,2019-03-27
55,2019-03-28
56,2019-03-29
57,2019-04-01
58,2019-04-02
59,2019-04-03
60,2019-04-04
61,2019-04-08
62,2019-04-09
63,2019-04-10
64,2019-04-11
65,2019-04-12
66,2019-04-15
67,2019-04-16
68,2019-04-17
69,2019-04-18
70,2019-04-19
71,2019-04-22
72,2019-04-23
73,2019-04-24
74,2019-04-25
75,2019-04-26
76,2019-05-02
77,2019-05-03
78,2019-05-06
79,2019-05-07
80,2019-05-08
81,2019-05-09
82,2019-05-10
83,2019-05-13
84,2019-05-14
85,2019-05-15
86,2019-05-16
87,2019-05-17
88,2019-05-20
89,2019-05-21
90,2019-05-22
91,2019-05-23
92,2019-05-24
93,2019-05-27
94,2019-05-28
95,2019-05-29
96,2019-05-30
97,2019-05-31
98,2019-06-03
99,2019-06-04
100,2019-06-05
101,2019-06-06
102,2019-06-10
103,2019-06-11
104,2019-06-12
105,2019-06-13
106,2019-06-14
107,2019-06-17
108,2019-06-18
109,2019-06-19
110,2019-06-20
111,2019-06-21
112,2019-06-24
113,2019-06-25
114,2019-06-26
115,2019-06-27
116,2019-06-28
117,2019-07-01
118,2019-07-02
119,2019-07-03
120,2019-07-04
121,2019-07-05
122,2019-07-08
123,2019-07-09
124,2019-07-10
125,2019-07-11
126,2019-07-12
127,2019-07-15
128,2019-07-16
129,2019-07-17
130,2019-07-18
131,2019-07-19
132,2019-07-22
133,2019-07-23
134,2019-07-24
135,2019-07-25
136,2019-07-26
137,2019-07-29
138,2019-07-30
139,2019-07-31
140,2019-08-01
141,2019-08-02
142,2019-08-05
143,2019-08-06
144,2019-08-07
145,2019-08-08
146,2019-08-09
147,2019-08-12
148,2019-08-13
149,2019-08-14
150,2019-08-15
151,2019-08-16
152,2019-08-19
153,2019-08-20
154,2019-08-21
155,2019-08-22
156,2019-08-23
157,2019-08-26
158,2019-08-27
159,2019-08-28
160,2019-08-29
161,2019-08-30
162,2019-09-02
163,2019-09-03
164,2019-09-04
165,2019-09-05
166,2019-09-06
167,2019-09-09
168,2019-09-10
169,2019-09-11
170,2019-09-12
171,2019-09-16
172,2019-09-17
173,2019-09-18
174,2019-09-19
175,2019-09-20
176,2019-09-23
177,2019-09-24
178,2019-09-25
179,2019-09-26
180,2019-09-27
181,2019-09-30
182,2019-10-08
183,2019-10-09
184,2019-10-10
185,2019-10-11
186,2019-10-14
187,2019-10-15
188,2019-10-16
189,2019-10-17
190,2019-10-18
191,2019-10-21
192,2019-10-22
193,2019-10-23
194,2019-10-24
195,2019-10-25
196,2019-10-28
197,2019-10-29
198,2019-10-30
199,2019-10-31
200,2019-11-01
201,2019-11-04
202,2019-11-05
203,2019-11-06
204,2019-11-07
205,2019-11-08
206,2019-11-11
207,2019-11-12
208,2019-11-13
209,2019-11-14
210,2019-11-15
211,2019-11-18
212,2019-11-19
213,2019-11-20
214,2019-11-21
215,2019-11-22
216,2019-11-25
217,2019-11-26
218,2019-11-27
219,2019-11-28
220,2019-11-29
221,2019-12-02
222,2019-12-03
223,2019-12-04
224,2019-12-05
225,2019-12-06
226,2019-12-09
227,2019-12-10
228,2019-12-11
229,2019-12-12
230,2019-12-13
231,2019-12-16
232,2019-12-17
233,2019-12-18
234,2019-12-19
235,2019-12-20
236,2019-12-23
237,2019-12-24
238,2019-12-25
239,2019-12-26
240,2019-12-27
241,2020-01-02
242,2020-01-03
243,2020-01-06
